"date","home_team","away_team","home_goals","away_goals","neutral"
"2009-02-12 01:00:00","Peru","Paraguay",0,1,0
"2009-02-12 01:15:00","United States","Mexico",2,0,0
"2009-02-12 01:45:00","Venezuela","Guatemala",2,1,0
"2009-02-12 02:00:00","El Salvador","Trinidad and Tobago",2,2,0
"2009-02-12 02:00:00","Colombia","Haiti",2,0,0
"2009-02-12 03:30:00","Costa Rica","Honduras",2,0,0
"2009-03-07 12:00:00","Sudan","Uganda",0,2,0
"2009-03-12 02:00:00","Mexico","Bolivia",5,1,0
"2009-03-14 15:15:00","Iran","Kenya",1,0,0
"2009-03-17 15:00:00","Qatar","Kuwait",1,0,0
"2009-03-19 00:00:00","Trinidad and Tobago","Panama",1,0,0
"2009-03-21 15:00:00","Uganda","Malawi",2,1,0
"2009-03-21 16:00:00","Namibia","Botswana",0,0,0
"2009-03-21 17:00:00","Syria","Qatar",1,2,0
"2009-03-22 15:00:00","Iceland","Faroe Islands",1,2,0
"2009-03-22 18:30:00","Saudi Arabia","Iraq",0,0,0
"2009-03-23 16:00:00","Bahrain","Zimbabwe",5,2,0
"2009-03-23 17:00:00","Kuwait","Iran",0,1,0
"2009-03-25 15:45:00","Angola","Cape Verde Islands",0,1,0
"2009-03-28 11:00:00","Korea Republic","Iraq",2,1,0
"2009-03-28 12:00:00","Thailand","New Zealand",3,1,0
"2009-03-28 14:05:00","South Africa","Norway",2,1,0
"2009-03-28 16:00:00","Wales","Finland",0,2,0
"2009-03-28 16:00:00","Oman","Senegal",2,0,0
"2009-03-28 18:00:00","Sudan","Mali",1,1,0
"2009-03-28 18:15:00","England","Slovakia",4,0,0
"2009-03-28 21:00:00","Uruguay","Paraguay",2,0,0
"2009-03-28 23:10:00","Argentina","Venezuela",4,0,0
"2009-03-29 00:00:00","Trinidad and Tobago","Honduras",1,1,0
"2009-03-29 00:00:00","Mexico","Costa Rica",2,0,0
"2009-03-29 01:30:00","Colombia","Bolivia",2,0,0
"2009-03-29 03:10:00","El Salvador","United States",2,2,0
"2009-03-29 19:00:00","Ghana","Benin",1,0,0
"2009-03-29 23:00:00","Ecuador","Brazil",1,1,0
"2009-03-30 01:10:00","Peru","Chile",1,3,0
"2009-03-31 20:45:00","Portugal","South Africa",2,0,0
"2009-03-31 22:00:00","Angola","Morocco",0,2,0
"2009-04-01 02:30:00","Venezuela","Colombia",2,0,0
"2009-04-01 03:30:00","Panama","Haiti",4,0,0
"2009-04-01 12:00:00","Lebanon","Namibia",1,1,0
"2009-04-01 15:00:00","Lesotho","Botswana",0,0,0
"2009-04-01 17:00:00","Iran","Senegal",1,1,0
"2009-04-01 19:00:00","Norway","Finland",3,2,0
"2009-04-01 20:15:00","Serbia","Sweden",2,0,0
"2009-04-01 21:30:00","Bolivia","Argentina",6,1,0
"2009-04-01 23:20:00","Ecuador","Paraguay",1,1,0
"2009-04-02 01:10:00","Chile","Uruguay",0,0,0
"2009-04-02 02:00:00","United States","Trinidad and Tobago",3,0,0
"2009-04-02 03:10:00","Brazil","Peru",3,0,0
"2009-04-02 03:30:00","Honduras","Mexico",3,1,0
"2009-04-02 04:00:00","Costa Rica","El Salvador",1,0,0
"2009-04-04 12:00:00","Angola","Namibia",0,0,0
"2009-04-25 12:00:00","Mali","Equatorial Guinea",3,0,0
"2009-05-09 12:00:00","Tanzania","Congo DR",0,2,0
"2009-05-13 17:00:00","Jordan","Zimbabwe",2,0,0
"2009-05-14 02:30:00","Venezuela","Costa Rica",1,1,0
"2009-05-21 00:00:00","Argentina","Panama",3,1,0
"2009-05-23 12:00:00","Malawi","Lesotho",1,0,0
"2009-05-24 01:30:00","Jamaica","Haiti",2,2,0
"2009-05-26 16:30:00","Iran","Indonesia",5,0,0
"2009-05-26 18:00:00","Qatar","Saudi Arabia",2,1,0
"2009-05-27 12:35:00","Japan","Chile",4,0,0
"2009-05-28 05:00:00","Ecuador","El Salvador",1,3,0
"2009-05-28 20:10:00","Tunisia","Sudan",4,0,0
"2009-05-29 12:00:00","Belgium","Chile",1,1,0
